acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state
Kenai Peninsula Borough School District,NA,31578,2020,School District,104128795,0,13224148,0,0,0,86580554,0,1214936,4773890,3109157,584617,18219435,0,143796904,20590387,142010569,0,0,0,162600956,FALSE,kenai peninsula borough,0.6403947280605164, Below 1%,Alaska
Kenedy Independent School District,NA,39054,2020,School District,36852272,28023811,1259841,0,0,0,2921945,0,4646675,0,0,92920,2211710,0,18108784,1460365,18953049,0,0,0,20413414,FALSE,kenedy,1.8052968503945495,1 - 5%,Texas
Kenedy County Wide Community School District,NA,163690,2020,School District,1412026,0,118671,0,0,0,471367,0,821988,0,0,2443,2108244,0,9674026,1779919,10004794,0,0,0,11784713,FALSE,kenedy  wide community,0.11981844615138272, Below 1%,Texas
Kenesaw School District No. 3R,NA,190300,2020,School District,0,2065000,0,0,0,0,1025377,0,0,0,0,135469,571850,0,4918141,-208509,5833968,0,0,0,5625460,FALSE,kenesawno 3r,0, Below 1%,Nebraska
Kenmore-Town of Tonawanda Union Free School District,NA,82285,2020,School District,142759909,72217314,22044772,0,0,0,16557645,10057319,15545484,0,15888000,3613110,9461346,493425,158327025,-585977,172480883,0,0,0,171894906,FALSE,kenmore-town of tonawanda union free,0.8305069203156026, Below 1%,New York
Kennard Independent School District,NA,163691,2020,School District,2732066,0,734693,0,0,0,787963,0,1144561,0,64849,26058,482556,0,3163157,-527197,4198968,0,0,0,3671771,FALSE,kennard,0.7440730917042484, Below 1%,Texas
Kennedale Independent School District,NA,39197,2020,School District,53775265,29147979,2880467,61262,2221729,0,8975484,0,10440777,0,0,429958,5761145,0,32266104,1982741,36474466,0,0,0,38457207,FALSE,kennedale,1.398314365367199,1 - 5%,Texas
Kennett Consolidated School District,NA,37933,2020,School District,171729108,39072674,10749504,0,0,0,106337000,0,15224000,0,1245930,716735,14008550,0,75617650,8746635,81596300,0,0,0,90342935,FALSE,kennett consolidated,1.9008581910693958,1 - 5%,Pennsylvania
Kennett School District No. 39,NA,35209,2020,School District,0,13575000,0,0,0,0,0,0,0,0,292700,57954,5793653,0,15274898,386151,20740354,0,0,0,21126505,FALSE,kennettno,0, Below 1%,Missouri
Kennewick School District No. 17,NA,39597,2020,School District,257922605,166895000,0,0,0,0,76760349,0,0,0,14267256,0,0,0,299261298,-80403552,379664850,0,0,0,299261298,FALSE,kennewickno,0.8618642194086854, Below 1%,Washington
Kenosha Unified School District No.1,NA,39994,2020,School District,240495914,138007655,39113071,0,0,8000000,0,30490751,52433033,0,2942155,4141036,37130375,0,257143793,15429222,282985982,0,0,0,298415204,FALSE,kenosha unifiedno,0.8059103918847245, Below 1%,Wisconsin
Kenowa Hills Public Schools,NA,34491,2020,School District,172888403,91063020,5689667,0,0,0,62124637,0,13497723,0,513356,1254929,13794036,0,30599064,-3731406,49379435,0,0,0,45648029,FALSE,kenowa hills,3.7874231765844697,1 - 5%,Michigan
Kensington Woods Schools,NA,161597,2020,School District,23520,0,23520,0,0,0,0,0,0,0,0,0,109828,0,1018024,-8541,1136393,0,0,0,1127852,FALSE,kensington woods schools,0.02085379996666229, Below 1%,Michigan
Kenston Local School District,NA,37096,2020,School District,92354589,34443753,6110541,0,0,0,43448219,0,4660531,2387772,2887938,2381884,1431726,140300,37691886,-5011095,46656891,0,0,0,41645796,FALSE,kenston local,2.217620933455084,1 - 5%,Ohio
Kent County Board of Education,NA,40325,2020,School District,32462905,0,3521091,843310,0,0,2701620,0,25396884,0,0,212287,6507878,3276160,27799396,1819960,35975761,0,0,0,37795721,FALSE,kent,0.8589042394508097, Below 1%,Maryland
Kent City School District,NA,37222,2020,School District,79716952,9267350,6293386,0,201638,2500000,54633344,0,4057462,3386823,2763772,6315917,4784558,0,45451113,1269022,55282566,0,0,0,56551588,FALSE,kent city,1.4096324227004908,1 - 5%,Ohio
Kent City Community Schools,NA,34478,2020,School District,73131292,37124659,2551708,0,2420795,0,25071461,0,5516450,0,196668,171222,5285594,0,12583707,-1065930,19106453,0,0,0,18040523,FALSE,kent city community schools,4.053723497927416,1 - 5%,Michigan
Kent Intermediate School District,NA,161598,2020,School District,312511656,0,44306398,0,0,0,218936292,0,48780156,0,488810,73804980,64190474,0,195470306,-9599894,343065654,0,0,0,333465760,FALSE,kent intermediate,0.9371626520216049, Below 1%,Michigan
Kentfield Elementary School District,NA,146248,2020,School District,62229071,39445564,1175228,893317,0,0,18467084,0,2017219,0,59056,0,2124603,0,19663497,-1508529,23296629,0,0,0,21788100,FALSE,kentfield elementary,2.8561036070148385,1 - 5%,California
Kent School District No. 415,NA,39638,2020,School District,373842731,247156000,0,2295444,0,0,115080853,0,0,0,9310434,0,0,0,538588956,60377692,478211264,0,0,0,538588956,FALSE,kentno,0.694115107328714, Below 1%,Washington
Kenton County School District,NA,33685,2020,School District,283033426,171365131,6501181,7136890,0,0,53235083,0,43190009,0,1605132,1936427,9895966,5637282,151008163,-887884,169365722,0,0,0,168477838,FALSE,kenton,1.6799445515201827,1 - 5%,Kentucky
Kenton City School District,NA,46851,2020,School District,0,10907484,0,0,0,0,23891620,0,2356775,1380347,0,2086698,4311877,0,19351355,265516,25484414,0,0,0,25749930,FALSE,kenton city,0, Below 1%,Ohio
Kenton Special School District,NA,107060,2020,School District,1119564,0,0,1119564,0,0,0,0,0,0,0,0,0,0,176514,71679,104835,0,0,0,176514,FALSE,kenton special,6.3426357116149426,5 - 10%,Tennessee
Kentwood Public Schools,NA,34489,2020,School District,341330735,80829413,15433636,0,0,0,198934485,0,44083021,0,2050180,1623109,44716852,0,84267793,-16820208,147427962,0,0,0,130607754,FALSE,kentwood,2.6134032976326966,1 - 5%,Michigan
Kenwood Elementary School District,NA,146249,2020,School District,2904946,0,55596,0,0,0,2807723,0,0,0,41627,241531,343661,0,2720883,-204540,3510615,0,0,0,3306075,FALSE,kenwood elementary,0.8786691167018292, Below 1%,California
Kenwood School District C-30,NA,147220,2020,School District,131166,0,47251,83915,0,0,0,0,0,0,0,0,0,0,1131341,229778,901563,0,0,0,1131341,FALSE,kenwoodc-,0.1159385189788048, Below 1%,Oklahoma
Keokuk Community School District,NA,33390,2020,School District,20951676,819200,460427,0,0,0,10223540,0,1844212,0,107298,236970,2822031,0,25111179,1696580,26473600,160133,861475,0,28170180,FALSE,keokuk community,0.7437537140337761, Below 1%,Iowa
Keota Community School District,NA,163044,2020,School District,2618621,91679,704895,0,0,0,1597611,0,224436,0,0,359326,502584,0,4406492,210766,5057636,0,0,0,5268402,FALSE,keota community,0.4970427465481943, Below 1%,Iowa
Keota Public School District I-43,NA,44104,2020,School District,896248,405000,229788,261460,0,0,0,0,0,0,0,0,0,0,4224884,31315,4193569,0,0,0,4224884,FALSE,keota publici-,0.21213552845474573, Below 1%,Oklahoma
Keppel Union School District,NA,31215,2020,School District,41681406,0,5421622,1949504,0,0,29128713,0,5040407,0,141160,80825,8069171,535,30779296,2433994,36495833,0,0,0,38929827,FALSE,keppel union,1.0706804836301995,1 - 5%,California
Kerens Independent School District,NA,163692,2020,School District,23050332,17806160,1511785,65959,0,120967,1415259,0,2130202,0,0,37964,1262916,0,8208724,450649,9058955,0,0,0,9509604,FALSE,kerens,2.4239003012112805,1 - 5%,Texas
Kerman Unified School District,NA,146251,2020,School District,128240207,49209035,6547137,0,0,0,57188060,0,15167220,0,128755,384849,11710900,3648141,65219786,5474224,75489452,0,0,0,80963676,FALSE,kerman unified,1.5839227334490098,1 - 5%,California
Kermit Independent School District,NA,39256,2020,School District,35233220,23717637,410458,0,0,0,4406443,0,6632682,0,66000,945277,3180684,0,21519188,2405324,23239825,0,0,0,25645149,FALSE,kermit,1.3738746458443272,1 - 5%,Texas
Kern County Office of Education,NA,30818,2020,School District,340827497,0,88195755,395883,0,0,184819886,0,64353774,0,3062199,46622982,163298275,0,129094627,-3208302,342224186,0,0,0,339015884,FALSE,kern  office of education,1.0053437407670256,1 - 5%,California
Kern High School District,NA,31164,2020,School District,945922165,294811364,66691834,0,0,70295000,503973967,0,0,22267900,10150000,5318030,99260702,5583378,546904434,18924589,638141955,9352658,417711,0,657066544,FALSE,kern high,1.4396139533167283,1 - 5%,California
Kernville Union School District,NA,31901,2020,School District,28339363,13435296,666981,0,0,0,11603242,0,2613697,0,20147,60494,3828554,0,10065941,-1672719,15627708,0,0,0,13954989,FALSE,kernville union,2.030769282584171,1 - 5%,California
Kerrville Independent School District,NA,39061,2020,School District,139612524,99908503,9689086,0,0,0,13243790,0,16771145,0,0,1907252,10472758,0,44770227,2770109,54380128,0,254396,0,57150237,FALSE,kerrville,2.4429036750976203,1 - 5%,Texas
Kershaw County School District,NA,38348,2020,School District,490243857,245158442,19641274,0,0,0,123185199,0,101776177,0,482765,1343342,72043760,0,114492844,41923703,145956243,0,0,0,187879946,FALSE,kershaw,2.609346380161297,1 - 5%,South Carolina
Ketchikan Gateway Borough School District,NA,31580,2020,School District,29215519,0,479826,0,0,0,26521204,0,435710,1358575,464035,199128,1970344,903777,37100042,4325503,35847788,0,0,0,40173291,FALSE,ketchikan gateway borough,0.727237382668002, Below 1%,Alaska
Ketchum School District I-6,NA,147223,2020,School District,1521764,1170000,229828,121936,0,0,0,0,0,0,0,0,0,0,6089238,-127448,6216686,0,0,0,6089238,FALSE,ketchumi-,0.24991041572032494, Below 1%,Oklahoma
Kettering City School District,NA,45469,2020,School District,253947602,55250000,15503539,26799080,0,2865000,124036387,0,12748907,6939171,10342753,5045508,13096894,0,104766124,-13323685,136232211,0,0,0,122908526,FALSE,kettering city,2.0661512285974366,1 - 5%,Ohio
Kettle Falls School District No. 212,NA,39697,2020,School District,4898166,577000,41471,0,0,0,4005806,0,0,0,273889,0,0,0,15886337,-358271,16244608,0,0,0,15886337,FALSE,kettle fallsno,0.3083257015131934, Below 1%,Washington
School District of Kettle Moraine,NA,40098,2020,School District,38697667,37606993,819690,17957,0,0,0,5310993,226494,0,26533,6581248,3855008,0,49686698,7445040,52677913,0,0,0,60122954,FALSE,kettle moraine,0.643642143730995, Below 1%,Wisconsin
Kewanee Community Unit School District No. 229,NA,93860,2020,School District,6070018,6060000,10018,0,0,0,0,0,0,0,0,0,0,0,31883590,1382339,30501251,0,0,0,31883590,FALSE,kewanee community unitno,0.1903806315411784, Below 1%,Illinois
School District of Kewaskum,NA,40087,2020,School District,35980158,26968702,9226777,76861,1717308,2475000,47982,2309479,2397644,0,2348,612502,3554238,61888,21670357,767511,25131474,0,0,0,25898985,FALSE,kewaskum,1.3892497331459128,1 - 5%,Wisconsin
Keya Paha County Public Schools District No. 100,NA,196991,2020,School District,0,0,0,0,0,0,0,0,0,0,0,17365,179755,0,2566212,-240916,3004248,0,0,0,2763332,FALSE,keya paha   district no,0, Below 1%,Nebraska
Keyes Union Elementary School District,NA,146255,2020,School District,21862917,5168394,1161874,1501000,0,0,14005743,0,0,0,25906,55284,3429197,222,12943210,-404708,16832621,0,0,0,16427913,FALSE,keyes union elementary,1.330839589910173,1 - 5%,California
Keyes School District I-11,NA,147224,2020,School District,41406,0,41406,0,0,0,0,0,0,0,0,0,0,0,841282,144653,696629,0,0,0,841282,FALSE,keyesi-,0.04921774149452859, Below 1%,Oklahoma
Keys School District I-6,NA,84926,2020,School District,3990689,3380000,503866,106823,0,0,0,0,0,0,0,0,0,0,9898591,2154647,7743944,0,0,0,9898591,FALSE,keysi-,0.4031572776367869, Below 1%,Oklahoma
Keystone School District,NA,47427,2020,School District,28426569,0,1929335,0,0,0,22830000,0,3394000,0,288872,168107,11790287,0,4856102,-176755,16991251,0,0,0,16814496,FALSE,keystone,1.690598933206205,1 - 5%,Pennsylvania
Keystone Area Education Agency 1,NA,33371,2020,School District,15069605,0,2845226,0,0,0,10809349,0,1053206,0,343035,1057497,9375787,0,12673285,-728019,23834588,0,0,0,23106569,FALSE,keystone area education agency,0.6521783913483651, Below 1%,Iowa
Keystone Central School District,NA,37949,2020,School District,166590398,32358610,12264961,0,0,0,100021000,0,21323936,0,621891,858238,21638392,0,57017998,5869077,73645551,0,0,0,79514628,FALSE,keystone central,2.0950912076203134,1 - 5%,Pennsylvania
Keystone Local School District,NA,37159,2020,School District,47997471,22906715,2839605,2605649,0,0,17401306,0,1646086,997969,691984,1710247,1436221,750,17472425,-757855,21377498,0,0,0,20619643,FALSE,keystone local,2.3277547045795117,1 - 5%,Ohio
Keystone Oaks School District,NA,37857,2020,School District,78932074,12416194,5378830,0,0,0,55858000,0,4683226,0,595824,696874,7470079,842968,35825742,2705753,42129910,295175,606484,0,44835663,FALSE,keystone oaks,1.7604752270530715,1 - 5%,Pennsylvania
Keystone School District C-15,NA,147227,2020,School District,218315,0,178398,39917,0,0,0,0,0,0,0,0,0,0,2985556,148764,2836792,0,0,0,2985556,FALSE,keystonec-,0.07312373306680564, Below 1%,Oklahoma
Kha'p'o Community School,NA,58489,2020,School District,2625852,0,2589867,49804,0,0,0,0,0,0,35985,0,2824780,154906,8472,131910,2856248,0,0,0,2988158,FALSE,kha'p'o community school,0.8787527299426603, Below 1%,New Mexico
Kiamichi Technology Center No. 7,NA,37418,2020,School District,25001891,0,1381340,0,0,0,22726831,0,0,212339,893720,2457886,2184487,0,31862488,5449008,31055853,0,0,0,36504861,FALSE,kiamichi technology center no,0.6848921024517803, Below 1%,Oklahoma
Kids Care Elementary School District,NA,83453,2020,School District,1123603,0,168888,0,109400,0,641801,0,36847,41688,0,0,1266864,0,327386,-15811,1610061,0,0,0,1594250,FALSE,kids care elementary,0.7047846949976478, Below 1%,Ohio
Kiefer Public School District I-18,NA,147229,2020,School District,4884013,2695000,217301,1971712,0,0,0,0,0,0,0,0,0,0,8710943,-179438,8890381,0,0,0,8710943,FALSE,kiefer publici-,0.5606755778335365, Below 1%,Oklahoma
Kildare Public School District C-50,NA,147230,2020,School District,2378807,2260000,118807,0,0,0,0,0,0,0,0,0,0,0,3429708,1938915,1490793,0,0,0,3429708,FALSE,kildare publicc-,0.6935887836515529, Below 1%,Oklahoma
Kildeer Countryside Consolidated School District,NA,167481,2020,School District,551319,0,148660,402659,0,0,0,0,0,0,0,1483339,23627937,121427,48180364,-3072643,76485710,0,0,0,73413067,FALSE,kildeer countryside consolidated,0.007509821105825752, Below 1%,Illinois
Kilgore Independent School District,NA,38965,2020,School District,66753866,43670502,2189214,0,0,0,7912777,0,12981373,0,0,495623,7386785,0,40552937,3815648,44619697,0,0,0,48435345,FALSE,kilgore,1.3782056471364041,1 - 5%,Texas
Killeen Independent School District,NA,38810,2020,School District,814770682,456914454,57560400,0,0,0,133732517,0,164561822,0,1209247,1754208,47757760,0,491337300,10443588,530405680,0,0,0,540849268,FALSE,killeen,1.5064653503423064,1 - 5%,Texas
Kimball Public Schools,NA,109236,2020,School District,0,0,0,0,0,0,2145190,0,0,0,6430,101538,864056,0,6901119,806965,7059748,0,0,0,7866713,FALSE,kimball,0, Below 1%,Nebraska
Kimberly School District 414,NA,32747,2020,School District,28637934,24063385,1905604,239522,0,0,2429423,0,0,539712,0,187847,14313983,0,2582058,777869,16306018,0,0,0,17083888,FALSE,kimberly,1.676312441289711,1 - 5%,Idaho
Kimberly Area School District,NA,40033,2020,School District,20522675,14275000,5617738,0,0,0,0,5815389,400574,0,229363,6643569,5808131,0,52663832,5094754,60020778,0,0,0,65115532,FALSE,kimberly area,0.3151732677235901, Below 1%,Wisconsin
Kinderhook Central School District,NA,36157,2020,School District,139849462,7115000,1382245,0,0,1353135,3276619,2436656,123814793,0,1185942,405408,1350703,0,40883244,-8586392,51225747,0,0,0,42639355,FALSE,kinderhook central,3.2798212355698158,1 - 5%,New York
King City Union School District,NA,45461,2020,School District,47680489,12430602,2432745,975557,0,97872,28532373,0,0,0,355340,234646,7697712,0,32008420,-1412680,41353458,0,0,0,39940778,FALSE,king city union,1.1937796754985595,1 - 5%,California
Kingdom East Unified Union School District,NA,191876,2020,School District,10837601,0,9589136,0,0,0,1040503,0,0,0,207962,651497,23179185,0,31351263,211645,54970300,0,0,0,55181945,FALSE,kingdom east unified union,0.19639758982761482, Below 1%,Vermont
Kingfisher Independent School District No.7,NA,147232,2020,School District,4656555,3525000,664813,466742,0,0,0,0,0,0,0,0,0,0,21980484,5735739,16244745,0,0,0,21980484,FALSE,kingfisher  no,0.21184952069299293, Below 1%,Oklahoma
Kingman Unified School District No. 20,NA,30576,2020,School District,90267657,43440388,2376982,1389606,0,0,41661436,0,0,0,1399245,1726120,11388491,768328,51898190,160363,65620766,0,0,0,65781129,FALSE,kingman unifiedno,1.3722424405333633,1 - 5%,Arizona
Kings County Office of Education,NA,42904,2020,School District,57875850,0,9831822,1836612,0,0,35060345,0,10806104,0,340967,4840846,51605140,0,9393607,-377331,66216924,0,0,0,65839593,FALSE,kings  office of education,0.8790432528949563, Below 1%,California
Kings Canyon Joint Unified School District,NA,98876,2020,School District,255069027,92882782,12395107,0,0,0,120028549,0,29216801,0,545788,830882,28326737,3543456,124092183,817644,155975614,0,0,0,156793258,FALSE,kings canyon joint unified,1.626785681052689,1 - 5%,California
Kings Local School District,NA,37295,2020,School District,124590436,45644770,6287378,0,0,0,60324091,0,6037781,3466782,6033353,3687574,5459699,0,55340536,-5319648,69807457,0,0,0,64487809,FALSE,kings local,1.931999829611206,1 - 5%,Ohio
Kings Park Central School District,NA,36426,2020,School District,235813251,52332317,5584355,0,0,5743661,7069435,5513796,154845841,0,6655132,447878,1939870,141523,91545962,-4878699,98953932,0,0,0,94075233,FALSE,kings park central,2.5066454100623914,1 - 5%,New York
Kings River Union Elementary School District,NA,146259,2020,School District,8532782,1536200,585481,0,0,0,5241487,0,1169614,0,0,97339,1117617,2968,5500504,560598,6157830,0,0,0,6718428,FALSE,kings river union elementary,1.2700563286530717,1 - 5%,California
Kings River-Hardwick Union Elem. School District,NA,98877,2020,School District,9135864,0,631430,46760,0,0,7933412,0,500180,0,24082,340297,961680,12964,7510876,-391651,9217468,0,0,0,8825817,FALSE,kings river-hardwick union elem,1.0351295523122674,1 - 5%,California
Kingsburg Joint Union High School District,NA,196399,2020,School District,41901929,19494234,3344985,13795,3301184,0,12649324,0,2916457,0,181950,331005,2791157,0,15035700,-457746,18615608,0,0,0,18157862,FALSE,kingsburg joint union high,2.3076466271194263,1 - 5%,California
Kingsbury Country Day School,NA,161737,2020,School District,299563,0,226830,0,0,72733,0,0,0,0,0,0,181003,0,2824681,-37269,3042953,0,0,0,3005684,FALSE,kingsbury country day school,0.09966550043184846, Below 1%,Michigan
Kingsley Area Schools,NA,34427,2020,School District,31972749,0,1654394,0,0,0,24650171,0,5363837,0,304347,534121,4259180,0,12083334,-1369385,18246020,0,0,0,16876635,FALSE,kingsley area schools,1.8944978664289416,1 - 5%,Michigan
Kingsley-Pierson Community School District,NA,163045,2020,School District,7672025,3650000,1024649,0,0,0,2320982,0,651194,0,0,443678,677079,4595,5602289,277511,6450130,0,0,0,6727641,FALSE,kingsley-pierson community,1.1403737208926576,1 - 5%,Iowa
Kingsport City Schools,NA,107062,2020,School District,14147,0,14147,0,0,0,0,0,0,0,0,0,0,0,1545771,48916,1496855,0,0,0,1545771,FALSE,kingsport city schools,0.009152067156131148, Below 1%,Tennessee
Kingston City School District,NA,36444,2020,School District,820152092,75925000,18370733,2919306,0,22000000,9775597,10578565,683955810,0,7205646,946004,10119905,0,180426739,-52686031,244178679,0,0,0,191492648,FALSE,kingston city,4.282942977528829,1 - 5%,New York
Kingston Community School District,NA,161738,2020,School District,20999629,6616358,662978,0,0,0,11229587,0,2446723,0,43983,135020,1739102,0,5367674,-515424,7757220,0,0,0,7241796,FALSE,kingston community,2.899781904930766,1 - 5%,Michigan
Kingston K-14 School District,NA,35345,2020,School District,0,3400000,0,87568,0,0,0,0,0,0,0,221042,2273969,0,7323691,528175,9290527,0,0,0,9818702,FALSE,kingston k-,0, Below 1%,Missouri
Kingston Public School District I-3,NA,84929,2020,School District,2716738,1705000,888186,123552,0,0,0,0,0,0,0,0,0,0,16134413,530327,15604086,0,0,0,16134413,FALSE,kingston publici-,0.16838158289365718, Below 1%,Oklahoma
Kingsville Independent School District,NA,46466,2020,School District,85871977,60851113,7170552,461992,0,0,6665017,0,10723303,0,0,222846,4973930,0,37217034,-4443938,46857748,3126023,0,0,42413810,FALSE,kingsville,2.024623041410333,1 - 5%,Texas
Kingsway Regional School District,NA,35798,2020,School District,48639947,33185326,1871561,1780834,0,0,10541856,0,0,0,1260370,2896440,8426277,0,41195404,-223559,52741680,0,0,0,52518121,FALSE,kingsway regional,0.9261555073533572, Below 1%,New Jersey
Kinnikinnick Community Consolidated School District 131,NA,53211,2020,School District,3947114,3906300,40814,0,0,0,980976,0,0,0,0,0,0,0,35792620,8207922,27584698,0,0,0,35792620,FALSE,kinnikinnick community consolidated,0.11027731415023544, Below 1%,Illinois
Kinta Public School District I-13,NA,147234,2020,School District,842667,280000,68096,494571,0,0,0,0,0,0,0,0,0,0,2158875,-89551,2248426,0,0,0,2158875,FALSE,kinta publici-,0.390326906374848, Below 1%,Oklahoma
Kiona-Benton City School District No. 52,NA,39598,2020,School District,10539477,4163223,211984,0,0,0,5979538,0,0,0,184721,0,0,0,22346898,224193,22122705,0,0,0,22346898,FALSE,kiona-benton cityno,0.4716304249475699, Below 1%,Washington
Kiowa School District I-14,NA,147236,2020,School District,736227,0,82927,653300,0,0,0,0,0,0,0,0,0,0,4364608,-10768,4375376,0,0,0,4364608,FALSE,kiowai-,0.1686811278355353, Below 1%,Oklahoma
KIPP Delta Public Schools,NA,93579,2020,School District,686771,0,686771,100221,0,15086116,12079972,0,0,0,0,0,0,0,22008096,1792681,20215415,0,0,0,22008096,FALSE,kipp delta,0.031205380056502842, Below 1%,Arkansas
Kipp Enc Public Schools,NA,53871,2020,School District,48866152,0,555986,422973,21402750,0,4501333,0,13046049,17428,0,86868,3038079,0,22420145,-132244,25677336,0,0,0,25545092,FALSE,kipp enc,1.9129370134975439,1 - 5%,North Carolina
KIPP Nashville,NA,197466,2020,School District,49223756,41962812,2280769,0,0,3750211,1229964,987608,0,0,0,0,3259799,0,28346800,1983776,29622823,0,0,0,31606599,FALSE,kipp nashville,1.5573885693933727,1 - 5%,Tennessee
Kipp Socal Public Schools,NA,157254,2020,School District,189331408,151051575,23724030,0,0,12259837,0,0,0,0,0,0,10737780,0,113766115,4261802,120242093,0,0,0,124503895,FALSE,kipp socal,1.5206866259083702,1 - 5%,California
Kirby School District No. 140,NA,32928,2020,School District,39116579,0,4441087,0,0,0,5548040,0,28894126,0,233326,653807,22897614,0,47756168,3267770,68039819,0,0,0,71307589,FALSE,kirbyno,0.5485612337839665, Below 1%,Illinois
Kirby School District No. 32,NA,98725,2020,School District,26724,1850000,26724,0,0,0,2729087,0,0,0,0,0,0,0,4745593,532498,4213095,0,0,0,4745593,FALSE,kirbyno,0.005631329951810027, Below 1%,Arkansas
Kirbyville Consolidated Independent School District,NA,163694,2020,School District,32878057,21832873,1367651,0,0,0,3486121,0,5993134,0,0,145167,1846238,0,16155870,251894,17895381,0,0,0,18147275,FALSE,kirbyville consolidated,1.8117352054234037,1 - 5%,Texas
Kirksville R-III School District,NA,35168,2020,School District,0,9575000,0,0,0,0,0,0,0,0,282525,1114334,7099108,0,23132836,1484216,29862062,0,0,0,31346278,FALSE,kirksville r-iii,0, Below 1%,Missouri
Kirkwood Elementary School District,NA,146262,2020,School District,1121611,0,97639,0,0,0,1023972,0,0,0,0,24755,108240,0,1091982,-142407,1367384,0,0,0,1224977,FALSE,kirkwood elementary,0.9156180075217739, Below 1%,California
Kiryas Joel Union Free School District,NA,36332,2020,School District,19616121,0,3314295,0,0,0,7779690,1168293,5838195,0,2526304,9267889,14029297,0,16023910,-3754420,43075516,0,0,0,39321096,FALSE,kiryas joel union free,0.49887014848212774, Below 1%,New York
Kiski Area School District,NA,38184,2020,School District,157930417,55351809,8131443,0,0,0,81168000,0,11958945,0,1320220,589443,15157201,2093500,43813015,-1493334,63146493,0,0,0,61653159,FALSE,kiski area,2.561594889241604,1 - 5%,Pennsylvania
Kit Carson Union Elementary School District,NA,146263,2020,School District,6045284,0,485361,0,0,0,4782868,0,718840,0,58215,64146,689442,0,4771291,72896,5451983,0,0,0,5524879,FALSE,kit carson union elementary,1.0941930130958524,1 - 5%,California
Klamath County School District,NA,86032,2020,School District,146517262,33981161,5533040,0,1484856,5476560,85492277,0,14372962,664226,176406,1931496,9284169,3911031,79603370,-3536100,98266166,0,0,0,94730066,FALSE,klamath,1.54668172615862,1 - 5%,Oregon
Klamath Falls City Schools,NA,42218,2020,School District,79349077,33823722,3249652,361678,4205019,0,30662970,0,6818100,0,0,1847922,7898187,148536,34251900,-2947416,47093961,0,0,0,44146545,FALSE,klamath falls city schools,1.7974017445759345,1 - 5%,Oregon
Klamath River Union Elementary School District,NA,146264,2020,School District,160152,0,24845,0,0,0,135307,0,0,0,0,3056,50256,0,257776,4171,306917,0,0,0,311088,FALSE,klamath river union elementary,0.5148125289307206, Below 1%,California
Klamath Trinity Joint Unified School District,NA,31147,2020,School District,42271939,13252618,3702924,0,0,0,16363805,0,68342,0,70162,37195,3724921,369630,19174018,-2499071,25804835,0,0,0,23305764,FALSE,klamath trinity joint unified,1.813797608179676,1 - 5%,California
Klawock City School District,NA,45184,2020,School District,2427020,0,183290,0,0,0,2211654,0,32076,113779,0,40648,650911,8714,3696834,1020885,3376222,0,0,0,4397107,FALSE,klawock city,0.5519583671718701, Below 1%,Alaska
Klein Independent School District,NA,38991,2020,School District,1688085132,1225799203,93750833,0,0,0,171536152,0,192705677,0,3764296,11189299,92174619,0,518687116,49445032,572606002,0,0,0,622051034,FALSE,klein,2.713740577111556,1 - 5%,Texas
Klepinger Community School,NA,54256,2020,School District,4762834,0,294621,0,0,0,3954992,0,513221,206586,0,0,0,2220194,4940038,-222209,7382441,0,0,0,7160232,FALSE,klepinger community school,0.665178726052452, Below 1%,Ohio
Klondike Independent School District,NA,163695,2020,School District,5451409,2036097,1598232,0,0,0,763502,0,1022887,0,0,102562,576742,0,22419058,5590052,17508310,0,0,0,23098362,FALSE,klondike,0.23600846674755552, Below 1%,Texas
Knappa School District No. 4,NA,85327,2020,School District,8358611,548547,887091,0,0,0,6638075,0,242843,49776,42055,14764,476332,0,6969431,-45900,7506427,0,0,0,7460527,FALSE,knappano,1.120378091252803,1 - 5%,Oregon
Kneeland Elementary School District,NA,146266,2020,School District,328859,0,16347,0,0,0,312512,0,0,0,0,0,15875,0,335103,-89224,440202,0,0,0,350978,FALSE,kneeland elementary,0.9369789559459567, Below 1%,California
Knights Ferry Elementary School District,NA,146267,2020,School District,1688004,0,150836,0,0,0,1060870,0,476298,0,0,1515,169910,0,1639640,362290,1448775,0,0,0,1811065,FALSE,knights ferry elementary,0.9320504785858045, Below 1%,California
Knightsen Elementary School District,NA,146268,2020,School District,6780124,0,281869,0,0,0,5893995,0,597585,0,6675,50951,822545,0,5963339,-269521,7106356,0,0,0,6836835,FALSE,knightsen elementary,0.9917050799090514, Below 1%,California
Knippa Independent School District,NA,163696,2020,School District,6868314,3358093,1204520,0,0,0,941516,0,1364185,0,0,68101,747810,0,6327938,2382562,4761287,0,0,0,7143849,FALSE,knippa,0.9614304557669122, Below 1%,Texas
Knob Noster R-VIII School District,NA,35250,2020,School District,0,0,230000,0,0,0,0,0,0,0,0,445292,7370457,2346185,11089864,2634312,18617486,0,0,0,21251798,FALSE,knob noster r-viii,0, Below 1%,Missouri
